label;ts;cpu;temp
mail;2020-10-08 21:47:05.898482;16.2;53.556
mail;2020-10-08 21:47:06.900380;31.4;53.556
mail;2020-10-08 21:47:07.901872;5.2;52.095
mail;2020-10-08 21:47:08.904012;28.4;54.043
mail;2020-10-08 21:47:09.906043;18.0;52.095
mail;2020-10-08 21:47:10.908121;18.2;53.069
mail;2020-10-08 21:47:11.910025;71.6;54.53
mail;2020-10-08 21:47:12.912302;48.8;54.53
mail;2020-10-08 21:47:13.916489;46.7;54.53
mail;2020-10-08 21:47:14.917851;7.1;52.582
mail;2020-10-08 21:47:15.920050;30.0;52.582
mail;2020-10-08 21:47:16.922007;49.7;54.53
mail;2020-10-08 21:47:17.925644;40.3;53.556
mail;2020-10-08 21:47:18.927785;28.9;54.043
mail;2020-10-08 21:47:19.930154;10.9;53.069
mail;2020-10-08 21:47:20.932343;9.5;52.582
mail;2020-10-08 21:47:21.934475;9.9;52.095
mail;2020-10-08 21:47:22.936317;35.5;53.069
web;2020-10-08 21:48:07.455624;4.0;52.095
web;2020-10-08 21:48:08.457843;32.6;52.582
web;2020-10-08 21:48:09.460029;15.4;52.582
web;2020-10-08 21:48:10.461832;64.1;52.582
web;2020-10-08 21:48:11.463927;43.0;54.53
web;2020-10-08 21:48:12.465672;23.5;52.582
web;2020-10-08 21:48:13.467817;33.6;54.043
web;2020-10-08 21:48:14.469848;33.2;53.556
web;2020-10-08 21:48:15.472052;47.2;54.53
web;2020-10-08 21:48:16.473835;81.3;54.043
web;2020-10-08 21:48:17.475882;72.3;54.53
web;2020-10-08 21:48:18.477794;59.8;54.53
web;2020-10-08 21:48:19.479589;49.4;54.53
web;2020-10-08 21:48:20.481615;52.2;55.504
web;2020-10-08 21:48:21.483674;66.9;55.017
web;2020-10-08 21:48:22.485383;74.2;55.017
web;2020-10-08 21:48:23.487506;86.1;55.017
web;2020-10-08 21:48:24.489557;63.9;55.017
web;2020-10-08 21:48:25.491669;41.9;55.017
web;2020-10-08 21:48:26.493806;50.3;55.504
web;2020-10-08 21:48:27.495921;38.0;55.017
web;2020-10-08 21:48:28.497935;53.8;55.017
web;2020-10-08 21:48:29.499905;15.7;53.556
web;2020-10-08 21:48:30.502087;22.2;53.069
web;2020-10-08 21:48:31.504160;53.1;54.53
web;2020-10-08 21:48:32.505848;55.5;55.017
web;2020-10-08 21:48:33.507786;31.6;54.043
web;2020-10-08 21:48:34.509674;41.2;54.043
web;2020-10-08 21:48:35.511612;15.9;53.556
web;2020-10-08 21:48:36.513465;28.8;53.556
web;2020-10-08 21:48:37.515204;40.1;54.043
web;2020-10-08 21:48:38.517335;62.4;55.504
web;2020-10-08 21:48:39.519342;58.3;53.556
web;2020-10-08 21:48:40.520961;36.7;54.53
web;2020-10-08 21:48:41.523490;47.3;55.504
web;2020-10-08 21:48:42.525450;21.1;53.069
web;2020-10-08 21:48:43.527394;16.1;54.043
web;2020-10-08 21:48:44.529562;35.0;54.043
web;2020-10-08 21:48:45.532733;34.2;53.556
web;2020-10-08 21:48:46.534954;44.1;54.043
web;2020-10-08 21:48:47.536863;33.5;53.069
web;2020-10-08 21:48:48.539235;11.3;53.556
web;2020-10-08 21:48:49.541296;37.7;54.043
web;2020-10-08 21:48:50.543109;21.7;53.069
web;2020-10-08 21:48:51.545166;13.3;53.069
web;2020-10-08 21:48:52.547244;15.5;53.556
web;2020-10-08 21:48:53.549069;28.2;53.069
web;2020-10-08 21:48:54.551031;37.4;53.556
web;2020-10-08 21:48:55.553278;25.4;54.043
web;2020-10-08 21:48:56.557075;17.6;53.556
web;2020-10-08 21:48:57.559236;14.6;54.043
web;2020-10-08 21:48:58.561282;40.9;54.043
web;2020-10-08 21:48:59.563187;23.9;53.556
web;2020-10-08 21:49:00.565091;17.2;52.582
web;2020-10-08 21:49:01.567189;12.2;53.069
web;2020-10-08 21:49:02.569217;36.8;53.556
web;2020-10-08 21:49:03.571312;51.6;54.53
web;2020-10-08 21:49:04.573493;57.8;55.017
web;2020-10-08 21:49:05.575480;79.0;55.504
web;2020-10-08 21:49:06.578290;69.9;55.017
web;2020-10-08 21:49:07.580186;65.5;54.043
web;2020-10-08 21:49:08.582041;55.6;54.53
web;2020-10-08 21:49:09.584158;47.0;54.53
web;2020-10-08 21:49:10.588250;71.6;55.017
web;2020-10-08 21:49:11.589939;79.6;55.504
web;2020-10-08 21:49:12.592602;83.6;55.991
web;2020-10-08 21:49:13.597071;62.8;55.991
web;2020-10-08 21:49:14.598640;42.6;55.504
web;2020-10-08 21:49:15.600620;50.3;55.991
web;2020-10-08 21:49:16.601836;64.5;55.991
web;2020-10-08 21:49:17.605508;69.0;55.991
web;2020-10-08 21:49:18.608727;71.9;55.991
web;2020-10-08 21:49:19.612577;70.3;55.017
web;2020-10-08 21:49:20.615240;77.5;56.965
web;2020-10-08 21:49:21.617203;54.4;54.53
web;2020-10-08 21:49:22.619818;54.3;55.017
web;2020-10-08 21:49:23.621824;55.6;56.478
web;2020-10-08 21:49:24.623887;64.3;55.504
web;2020-10-08 21:49:25.625857;74.5;56.478
web;2020-10-08 21:49:26.628259;81.5;56.478
web;2020-10-08 21:49:27.629835;73.9;55.991
web;2020-10-08 21:49:28.631846;77.2;55.991
web;2020-10-08 21:49:29.633829;82.0;56.478
web;2020-10-08 21:49:30.635396;76.9;56.965
web;2020-10-08 21:49:31.637409;45.4;56.478
web;2020-10-08 21:49:32.640640;68.8;55.504
web;2020-10-08 21:49:33.641844;43.5;55.991
web;2020-10-08 21:49:34.643821;46.5;54.53
web;2020-10-08 21:49:35.645832;56.0;55.991
web;2020-10-08 21:49:36.647803;62.4;55.991
web;2020-10-08 21:49:37.649763;72.2;55.504
web;2020-10-08 21:49:38.652642;62.1;55.991
web;2020-10-08 21:49:39.653848;59.2;55.991
web;2020-10-08 21:49:40.655949;42.3;55.504
web;2020-10-08 21:49:41.658129;11.8;55.017
web;2020-10-08 21:49:42.660341;30.9;54.043
web;2020-10-08 21:49:43.662380;36.3;54.53
web;2020-10-08 21:49:44.664471;22.5;55.504
web;2020-10-08 21:49:45.665846;28.0;54.043
web;2020-10-08 21:49:46.668432;18.7;54.53
web;2020-10-08 21:49:47.670513;14.7;54.53
